Year,Name,Overview,Strengths,Weaknesses,Label
2024,Caleb Williams,"Williams’ play is highlighted by rare escapability paired with the talent to exploit defenses once the play breaks down. He’s not tall, but he is well-built, with an arm to challenge defenses across the field. He can be a high-impact playmaker on the go or an effective pocket passer when he allows himself to trust his eyes on second and third reads. He can improve his accuracy and placement on intermediate and deep throws, but he’s unlikely to be known for pinpoint accuracy. It is admirable that he looks to keep his eyes up and make throws outside the pocket, but he’ll make things easier on himself early in his pro career by becoming a more decisive scrambler to move the sticks and carry on to the next set of downs. Williams is tremendously talented but often bites off too much responsibility and plays off-schedule. He has a good chance to hit new heights with a surrounding cast he trusts, but greater self-discipline and a well-structured offense might be needed to help him become a quarterback who can elevate a franchise to championship contention.","Forced to keep his team in games with high-end production and did so. Better consistency projected with pro targets who separate. Rapid-fire transition from fake to throw on RPOs. Twitchy release helps generate heat on drive throws. Puts enough pace on the ball to challenge safeties to a variety of spots. Will reset his pocket to create better throwing angles. Much improved at getting air under deep throws in 2023. Touchdown-to-interception ratio of 46:1 in red zone since the start of 2022 season, per Pro Football Focus. Keeps his eyes and arm alive when leaving the pocket. Rare talent to feel pressure, escape and extend the play.",Averse to playing throw-and-catch football on schedule. Eyes can become sticky and sluggish working through progressions. Must learn to throw with better anticipation/timing on the NFL level. Hero-ball mentality creates indecisiveness and inconsistent decision-making. Disconcerting deep-ball accuracy in QB-friendly offense. Will throw on the move unnecessarily rather than platform up. Passes up easy scramble yardage for more challenging throws.,
2024,Jayden Daniels,"With five seasons of starting experience under his belt, Daniels possesses a rare blend of playmaking talent and command from the pocket. He’s tall but slender, so there will be concerns about durability, considering how often he ran in college. However, teams must also recognize that he has no issues sitting in the pocket and working through progressions as a platform thrower with good mechanics and footwork. Daniels possesses the football intelligence to get himself protected and take care of the football with quality decision-making. He’s an accurate passer over the first two levels and throws with anticipation to slice and dice zone coverages. He had noticeable issues putting deep throws on faster receivers in stride, though. He lacks ideal size and arm talent, but he’s much more capable as a runner and passer than most of the quarterbacks who have moved on to the next level lately. Daniels is positioned to become a very good NFL starter in a spread-based passing attack.",Game is marked by command of the field and football intelligence. Recognizes pre-snap pressure and has a plan to counter it. Gets everyone on the same page when setting up protection. Full-field reader with good rhythm through his progressions. Willing to plant his flag and attack defenses from the pocket. Maintains passing platform when sliding around the pocket. Has made footwork as a passer a priority during his career. Anticipatory thrower with accuracy and feel for attacking zone windows. Has the running talent to turn scrambles into back-breaking plays. Has the speed to keep defenses honest with zone-read concepts.,"Slender frame will lead to durability concerns. Lack of zip creates danger for him outside the numbers. Will drop his eyes in the pocket to scan for exits. Below-average push and placement on deep throws. Substantially more accurate on rollouts than as a scrambling passer. Has a tendency to fall off of fade throws, leaving them short.",
2024,Drake Maye,"Challenging evaluation with top-flight measurables and tools but inconsistencies that create a lower floor. Maye’s size and arm talent jump off the tape immediately. He can make every throw, but he will try to make throws that he shouldn’t have attempted. The gunslinger mentality creates a fearlessness that can turn into interceptions, but it will also allow him to win in tight windows and make splash throws that get crowds (and evaluators) on their feet. He leaves too many throws on the back shoulder or hip and needs to learn when to take some sauce off the throw to make it more catchable. There is an undeniable energy to Maye’s game that can create momentum or turn chaotic when plays come off-schedule for him. The combination of traits and tape make him a boom/bust prospect who might need patient management and coaching to help shepherd him toward his potential.",Two years of starting experience and still very moldable. Two-time team captain with prototypical size and frame. Ball comes off his hand with tight spiral and good velocity. Can expedite operation time and release when pressure closes in. Unquestionable arm talent to connect from challenging angles. Fearless passer with the guts and arm to whip the ball into tight windows. Quick pocket climber with discipline to continue searching for targets. Mobility to slide free of pocket traffic and toughness to go get needed yards. Showed flashes of the clutch gene during his career.,Struggles with the chess match against pressure looks. Inefficient throwing motion creates inconsistencies in accuracy. Receivers had to chase too many intermediate throws into the turf. Leaves the ball behind crossing routes and RPO targets. Can get uncomfortable when initial reads aren’t clear and clean. Sixteen career interceptions were mostly earned with poor decisions or throws.,
2024,Michael Penix Jr.,"Penix will be a 24-year-old rookie with a history of season-ending injuries at Indiana and impressive production while at Washington. The Huskies’ offensive design helped declutter coverages for Penix, allowing him to throw a higher number of intermediate and deep passes. He plays with smart pocket mobility and a willingness to get rid of the football, which makes it difficult to sack him. His delivery is bundled and his release point is very low, but his monster game against Texas showed flashes of impeccable touch. Penix has plenty of arm but needs to work with more consistent timing between the numbers to eliminate unnecessary contested throws. He’s a pocket passer who was ineffective in 2023 when defenses were able to crank up the heat and make him move his feet. Playing in a shotgun-based spread attack might give him his best chance to succeed, but he needs to prove he can thrive outside of the Washington offense and stay free from injury.","Possesses enormous hands to control the football. Sees pressure creeping up pre-snap and gets himself protected. Makes sudden transition from his drop to his release. Slides from pressure and resets to find his platform. Wrist flick sends it 50-plus yards without much effort. Has ability to make drive throws with added velocity when needed. Fearless attacking far-sideline buckets between corner and safety. Sacked just 31 times over 1,759 career dropbacks, per PFF.","Suffered multiple season-ending injuries during his time at Indiana, including tearing his right ACL twice. Posted 20 TDs and 9 INTs over his final 11 games of the 2023 season. Forces receivers to break stride on a variety of throws. Throws with wide-open front side when feet fail to follow his eyes. Heavily reliant upon receiving talent winning jump balls. Production/consistency plummet when forced to throw outside the pocket.",
2024,JJ McCarthy,"Enigmatic quarterback lacking the measurables and splash throws associated with early round quarterbacks but possessing elements that require more study and consideration. McCarthy lacks frame thickness and a plus arm. He’s fairly poised in the pocket but is average as a pocket passer. His ball placement and timing need to improve to help mitigate an average operation time due to a windup release. McCarthy doesn’t seek to play out of structure but is fairly consistent at making positive plays when it happens and ramps up his focus late in games and on third downs. He is confident and seems to have the ability to take slights and digest it as competitive fuel. McCarthy should continue to improve as a passer, but he fails to stand out in many of the areas that tend to be predictive of top-level success in the NFL.",Plays with a chip on his shoulder and intensifies focus when needed. Plenty of experience working under center in pro-style passing scheme. Won’t hesitate to slide and find new launch points when pressure builds. Adequate ability to locate throwing windows versus zone. Makes drive throws between defenders with good decisiveness. Delivers the ball smoothly on rollouts and in scramble mode. One of the draft’s most efficient quarterbacks operating out of structure. Toughness to deliver throws when taking a hit and squeeze out extra yards as runner.,"Sluggish getting through progressions and can get stuck on first read. Modest arm strength might be magnified by windup in his delivery. Ball placement on tape belies completion percentage on the stat sheet. Leaves throws behind moving targets, allowing defenders to challenge catches. Deep balls need to come out quicker and with more air under them. Timing improved during the season but still crowds receivers to coverage. Average escapability as a runner when scrambling.",
2024,Bo Nix,"Rare five-year starting quarterback whose play has matured in front of our eyes. Nix displays the accuracy, arm talent and athleticism consistent with today’s brand of pro quarterback. He can be punctual in getting the ball out at the top of his drop or he can work through progressions and beat defenses with second-reaction plays. He throws with good velocity and puts the ball on the money when throwing on the move. Nix has shown great improvement with his pocket poise. He’s capable of moving the sticks as a scrambler or as part of the running game. Some of his gaudy production has been driven by the Oregon offense’s design, but his talent clearly stands out. I’ve harbored bias from watching the overwhelmed version of Nix during his Auburn days, but as the saying goes, “tape don’t lie.” Nix appears more than ready to attack the league with an NFL-caliber skill set.","Good pre-snap recognition for expedited post-snap itinerary. Big hands to manipulate defenses with aggressive pump fakes. Shows ability to work through options and find what he likes. Generates quality velocity from a sudden, compact release. Ball comes out of his hand with good pace and without much effort. Impressive run-and-rip talent throwing accurately on the move. Play-extender with arm talent to win with secondary action as passer. Internal clock and athleticism help him avoid sacks. Toughness and talent to move the sticks on called runs.","Nearly 30 percent of his passes in 2023 were thrown behind the line of scrimmage, per Pro Football Focus. Tends to short-arm throws when blitz is leaking in. Decision-making can take a hit when he extends the play. Left easy touchdowns on the field due to overthrows. Bucket throws will come out a little flat. Needs to do a better job of throwing receivers away from coverage.",
2024,Spencer Rattler,"Four-year starter who took more starting snaps at South Carolina than he did at Oklahoma. Rattler will still flash glimpses of what he showed in his 2020 season as a Sooner but fails to consistently sustain the type of play that NFL teams look for. He lacks desired height for a pocket passer and doesn't have enough arm strength to beat greedy NFL cover men. He was better than some of his 2023 numbers might indicate, as poor pass-blocking and drop-prone receivers often put him in bad spots. He can scramble and extend plays, but he's not a dynamic runner and needs optimal protection and separation in order to work in rhythm. He needs an offense that can shrink the field so he can operate quickly and find his rhythm. He has the know-how but might not have the tape or traits to inspire confidence in projecting anything more than a QB2/3.",Feet follow his eyes; throws with accuracy when comfortable. Quick to snap into release motion when throwing on RPO looks. Takes time but is capable of getting through full-field reads. Patient to allow the routes and spacing to mature before throwing. Stands tough in the face of pressure and willing to take shots to complete throws. Helps his own cause by slipping past would-be sacks to extend the play. Not overly dynamic as a runner but can go and get first downs.,"Struggles to consistently process efficient reads and opportunities. Eyes float to and stay with primary receiver even against tight coverage. Lacks NFL drive velocity, and deep balls have no late life on them. Leaves too many in-breaking throws on receiver's back hip. Creates too much commotion for his receivers between the hashes. Muscle and accuracy on move throws are below average. Defaults into back-leg throws when pressure begins to mount.",
2024,Jordan Travis,"In a career marked with challenges, Travis showed the resilience to overcome and finish his career playing his best football. He’s undersized but has an adequate arm and can help protect himself with his legs. The footwork isn’t always great, but he can throw effectively and fairly accurately as an improviser. Travis doesn’t usually beat defenses with pre-snap planning or eye work and can be a step slow to get through progressions and throw with anticipation. He displays good leadership and desires to take care of the football. Travis’ traits don’t stand out, but his mobility and continued growth as a passer could give him a shot to compete for a spot as a QB2/3 if evaluations of his leg injury check out.",Possesses adequate arm strength to make NFL throws. Able to expedite his delivery for sudden throws when needed. Is generally accurate when throwing to intermediate targets. Improved at recognizing lurking defenders and avoiding the danger. Can find targets and put the ball on them when he’s on the move. Feels edge pressure and climbs pocket or exits the side door. Talented as a scrambler/runner and competes to move the chains.,"Season-ending leg injury could prevent pre-draft workouts. Plays with average pre-snap diagnosis on where opportunities should exist. Pace can be stale through progressions, causing him to miss open targets. Needs to become a more decisive passer on the next level. Occasional signs of panic that turn into poor decision-making with the ball. Aims it and pulls up short on his follow-through at times.",
2024,Joe Milton,"Rare physical specimen with the proverbial ""arm talent to make all the NFL throws,"" but he's prevented from doing so by a lack of timing, accuracy and touch. Milton is gifted with a cannon for a right arm and can throw the ball as hard or as far as you want. His fastballs are often inaccurate and difficult to catch for moving targets, and he was wildly inconsistent locating his deep throws. He can elude pressure, extend plays and put jaw-dropping highlights on tape, but he's never been able to mature his game from splashy to consistent. He's primarily a single-side reader who struggles to improvise with his eyes. The physical ingredients could get him drafted on Day 3, but his lack of development over six seasons discourages his projection.",Elite size and arm strength are both well beyond positional norms. Throws blazing heat to beat coverage into tight windows. Delivers long off-platform throws with the flick of the wrist. Will stand his ground and take punishing hits to make the throw. Able to keep eyes downfield while deftly sliding around pocket pressure. Posted 32 TDs against just five INTs over three seasons at Tennessee. Strong against potential sacks and escapes the pocket to extend the play.,"Disturbing lack of placement and timing as a deep-ball passer. Completed just 38.6 percent of his throws beyond 10 yards (per Pro Football Focus) in 2023. Struggles with anticipatory throws, running receivers into collisions. Telegraphs throws between the hashes, giving safeties an easy jump on the ball. Desires to throw the ball through receivers rather than deliver with touch. Inconsistent tying his feet to eyes and squaring to his targets. Frequently forces moving targets to break stride to try to make the catch.",
2023,Bryce Young,"Slightly built with measurables that fall below the standard for the quarterback position, Young’s talent and face-of-the-franchise potential could force teams to focus more on his game film and less on his size. Young has had the advantage of working with a former NFL head coach (Bill O’Brien) who understands the challenges facing a pro quarterback. He’s a full-field reader whose confident demeanor on the field oozes off the tape but never becomes unbridled cockiness. He’s thoughtful in where he wants to go with the football and keeps the turnover count low. The deep ball is nothing special and his drive velocity fails to stand out, but he has enough arm strength to make the necessary throws. Young is perfectly capable of extending plays both inside and outside the pocket, but teams will want him to stay on schedule a little more often as a pro passer. He’s poised in the face of both physical and situational pressure and possesses a full offering of intangibles that helps set him apart from some of the more physically gifted quarterbacks in this class.",Calm demeanor on the field. Played in a pro-style attack that required full-field reads. Shows ability to dial up focus in big fourth quarter situations. Uses eye manipulation to create easier throws. Locates and avoids lurking trouble in zone coverage. Good operation time with a compact release as thrower. Unfazed by incoming rush and makes ball delivery his priority. Good rush awareness and pocket mobility. Actively reroutes his receivers when play extends. Makes defenses pay when he breaks contain and improvises.,"Weighed in at 204 pounds at the NFL Scouting Combine; since 2003, no QB who weighed fewer than 207 pounds at the combine has been drafted in Round 1. Durability will be a concern due to slight frame. Has a tendency to run receivers up against the boundary. Leaves his lower half behind on drive throws at times. Needs to prove he can find reads quickly and stay on schedule. Deep throws come out flat and lose energy late. Doesn’t run as often as he could to counter the rush and pick up first downs.",
2023,CJ Stroud,"Two-year starter from a program with a high-octane offense known for creating high-level production opportunities for its quarterbacks. Stroud’s accuracy stands out on tape. He’s able to lead receivers with good placement and make on-frame throws to targets on all areas of the field. The question now is how quickly he will acclimate outside of the Ohio State scheme. Stroud didn’t often attack defenses with his legs, but if he can become a more willing runner, he will be able to extend drives rather than feeling forced into more challenging decision-making situations. NFL teams will have to balance what they saw on tape from Stroud during the 2022 regular season against his great College Football Playoff semifinal performance, when he shined versus Georgia’s impressive collection pro prospects. If he did it once he can do it again, and grading the flashes for Stroud might make the most sense.","Doesn’t hesitate to attack with his throws. Has the arm strength to air out the deep ball toward the sideline with accuracy. Played the game of his career against Georgia in College Football Playoff semifinal. Showed willingness to extend and make plays outside the pocket against Georgia. Finds his way back to platform throws when forced to move his feet. Tapes shows ability to get through progressions. Enough arm talent to pump, reset and then release. The most naturally accurate top-tier quarterback in the 2023 draft class. Puts it on frame, allowing receivers to catch in stride and keep rolling. Showed maturity as game manager at times during 2022 season.",Hesitance to use his legs can put a cap on his success rate. Labors to get squared to target when rolling out. Needs a clearer scan for potential pressure points near the line of scrimmage. Needs to play with better recognition and respect for safeties. Inconsistent activating lower-body torque on drive throws. Interceptions arise when he refuses to come off primary receiver.,
2023,Anthony Richardson,"Dual-threat quarterback with an elite physical profile and a lot of work that needs to be done to reach a potentially high ceiling. Richardson’s frame, arm talent and mobility will demand respect as a potential first-round option. He has the ability to make plays on the move that very few of his NFL peers will be able to make. However, but his accuracy on short and simple throws left much to be desired due, in part, to shoddy footwork and inconsistent rhythm. The footwork issues can be corrected, but the challenge will be determining whether he can be at least a functionally accurate passer at the next level. Richardson’s potential to strike with the deep ball, attack the secondary from sideline to sideline and gash teams with his legs creates greater leeway in his projection as a developmental prospect. Ultimately, he will succeed or fail based on his ability to play with better post-snap recognition and deliver the football with consistency.","Elite size, strength and athletic ability for the quarterback position. Has potential to perform in a variety of offensive schemes. Can make explosive plays as a passer and runner. Arm strength to throw downfield and into tight windows. Functional pass accuracy when mechanically sound and in rhythm. Willing to take a hit and still deliver the throw. Good awareness of pressure mounting around him. Footwork to slide and throw or scramble for yards. Had touchdown-to-interception ratio of 12:2 over his final six games at Florida. Ran for touchdowns of 45, 60, 73, 80 and 81 yards over the past two seasons.",Inconsistency and inaccuracy made it hard for him to have sustained success. Could use a better feel for the timing of his progressions. Needs to take some spice off short throws. Below average touch and ball placement rolling out. Hasn’t learned to manipulate coverage with his eyes. Struggles to paint intermediate zone holes with anticipatory throws. Accuracy issues are often a function of poor footwork. Loses track of coverage and will throw into danger. Too willing to flip the ball out instead of taking a sack.,
